fec_vta,suc_vta,or_vta,stat_vta,cve_esp,clas_car,stat_reg,cve_gra,cve_serv,tip_com,par_dat,emi_stat,cor_sc,per_int,ser_id,zon_vta,vta_id,bol_vta,fi_vta,var_ord,fec_ord,cve_ord_dte,cve_vta_ord,imp_ant,diniper,digitover,gcioid,fec_arb
2024-10-27,2157,8047822137,1,1020947,V,0,0,0,11,1020947,0,0,78,0,0,184,3,0,19344.00,1901-01-01 00:00:00,999999    ,0,248.00,2024-11-05 15:11:00,4,1,2024-11-21 03:16:03.455857000
2024-10-26,2186,360132166,1,6340,V,1,0,0,11,54130,0,3,3,0,23,184,3,0,0.00,1901-01-01 00:00:00,1126448   ,3526,187.00,2024-11-03 20:28:00,5,1,2024-11-21 03:16:03.455857000
2024-10-26,2083,6995852063,1,891594,V,0,0,0,10,891594,0,0,102,0,0,184,3,0,20094.00,1901-01-01 00:00:00,999999    ,0,197.00,2024-11-02 14:26:00,4,1,2024-11-21 03:16:03.455857000
2024-10-27,2197,12518782177,1,99027,V,1,0,0,10,1459700,0,3,5,0,27,184,3,-2,0.00,1901-01-01 00:00:00,84975     ,1058,407.00,2024-11-03 15:32:00,9,1,2024-11-21 03:16:03.455857000
2024-10-27,2094,7069302074,1,23639,V,1,0,0,11,915103,0,3,3,0,40,184,3,0,0.00,1901-01-01 00:00:00,00834206  ,8029,180.00,2024-11-06 11:50:00,8,1,2024-11-21 03:16:03.455857000
2024-10-13,2204,9844032184,1,108048,V,1,0,0,11,1164390,0,5,3,0,36,184,1,2,0.00,1901-01-01 00:00:00,1115370   ,6909,172.00,2024-10-20 16:00:00,4,51,2024-11-21 03:16:03.455857000
2024-10-30,2102,9111852082,1,45703,V,1,0,0,11,1042817,0,2,2,0,4,184,3,0,0.00,1901-01-01 00:00:00,1145176   ,2628,318.00,2024-11-07 14:35:00,4,1,2024-11-21 03:16:03.455857000
2024-10-25,2066,6525302046,1,778743,V,0,0,0,11,778743,0,0,154,0,0,184,3,0,28798.00,1901-01-01 00:00:00,999999    ,0,187.00,2024-11-03 19:45:00,7,1,2024-11-21 03:16:03.455857000
2024-10-16,2214,10202792194,1,91682,V,1,0,0,10,1163825,0,4,2,0,57,184,1,2,0.00,1901-01-01 00:00:00,1122992   ,2687,442.00,2024-10-26 18:27:00,3,1,2024-11-21 03:16:03.455857000
2024-10-16,2214,10202792194,1,91682,V,1,0,0,10,1163825,0,4,2,0,57,184,1,2,0.00,1901-01-01 00:00:00,1122992   ,2687,442.00,2024-10-26 18:27:00,3,1,2024-11-21 03:16:03.455857000
2024-10-10,2213,5430232193,1,655330,V,0,0,0,11,655330,0,0,154,0,0,400,3,0,83468.00,1901-01-01 00:00:00,999999    ,0,542.00,2024-10-26 18:02:00,6,1,2024-11-21 03:16:03.455857000
2024-10-15,2090,2916922070,1,44578,V,1,0,0,11,367607,0,5,5,0,74,184,3,0,0.00,1901-01-01 00:00:00,00083     ,3618,369.00,2024-10-22 18:40:00,8,1,2024-11-21 03:16:03.455857000
