vta_can,id_tip_car,cve_art,imp_sob,man_vta,dig_over,or_vta,stat_per_vta,ges_vta,cla_vta,din_ipe,gci_oid,fec_arb,mto_vta,imp_doc,fec_ibo,vta_clas,stat_car_vta,ser_id_car,pag_car,pag_car_tx,rut_abt,nov_abt,fid_dpt,fec_ctd,man_abt,man_otor_vta
67951,9567,31059608,9973.00,195.00,6,10408992189,1,0,0,2024-11-04 20:03:00,1,2024-11-21 03:16:03.455857000,18972.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,585.00,0,0,0,2024-11-18 00:20:00,3,19305.00
57645,9734,31060794,5685.00,292.00,2,7744402191,1,0,0,2024-10-30 18:41:00,1,2024-11-21 03:16:03.455857000,15184.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1168.00,0,0,0,2024-11-20 00:20:00,4,14016.00
75692,8900,31060794,9811.00,517.00,4,5172522056,1,12,0,2024-10-25 12:02:00,1,2024-11-21 03:16:03.455857000,18360.00,950.00,2024-11-21 04:08:10.371061000,V,      ,0,120.00,2068.00,0,0,0,2024-11-16 00:22:00,4,50666.00
1211793,4000,31060787,3059.00,550.00,3,19552022079,1,0,0,2024-11-02 12:16:00,1,2024-11-21 03:16:03.455857000,12558.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,14300.00,0,0,0,2024-10-17 12:17:00,26,0.00
88379,8364,31059608,9145.00,215.00,3,4486472092,1,0,0,2024-11-02 13:13:00,1,2024-11-21 03:16:03.455857000,18144.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,860.00,0,0,0,2024-11-16 00:23:00,4,19780.00
213328,9124,31060787,10543.00,196.00,1,15708652107,1,0,0,2024-11-02 14:28:00,16,2024-11-21 03:16:03.455857000,20042.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,784.00,0,0,0,2024-11-19 00:56:00,4,19208.00
330308,9578,31060794,15013.00,178.00,2,2535232136,1,0,0,2024-11-06 13:17:00,1,2024-11-21 03:16:03.455857000,23562.00,950.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,534.00,0,0,0,2024-11-20 10:41:00,3,26878.00
799772,4000,31059608,15949.00,168.00,8,6621082142,1,0,0,2024-11-12 19:35:00,1,2024-11-21 03:16:03.455857000,24948.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,25872.00,0,0,0,2024-10-27 19:36:00,154,0.00
82483,8903,31060794,9509.00,258.00,8,5955412054,1,0,0,2024-11-08 00:00:00,1,2024-11-21 03:16:03.455857000,19008.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1032.00,0,0,0,2024-11-20 18:35:35,4,23736.00
899931,4000,31059608,9145.00,215.00,2,7558152178,1,0,0,2024-11-11 18:55:00,1,2024-11-21 03:16:03.455857000,18144.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,20640.00,0,0,0,2024-10-29 18:56:00,96,0.00
66228,8413,31059608,7490.00,231.00,9,7613142179,1,0,0,2024-11-04 19:01:00,51,2024-11-21 03:16:03.455857000,15489.00,2000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,693.00,0,0,0,2024-11-19 00:32:00,3,17325.00
1017319,4000,31060787,9701.00,280.00,9,8502522023,1,0,0,2024-10-27 12:45:00,1,2024-11-21 03:16:03.455857000,19200.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,0.00,0,0,0,2024-10-20 12:46:00,0,0.00
1020947,4000,31059608,7147.00,248.00,4,8047822137,1,0,0,2024-11-05 15:11:00,1,2024-11-21 03:16:03.455857000,16146.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,19344.00,0,0,0,2024-10-27 15:11:00,78,0.00
6340,9033,31059608,8953.00,187.00,5,360132166,1,0,0,2024-11-03 20:28:00,1,2024-11-21 03:16:03.455857000,17952.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,561.00,0,0,0,2024-11-18 00:17:00,3,17391.00
891594,4000,31060794,10595.00,197.00,4,6995852063,1,0,0,2024-11-02 14:26:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,20094.00,0,0,0,2024-10-26 14:26:00,102,0.00
99027,8409,31060787,4463.00,407.00,9,12518782177,1,0,0,2024-11-03 15:32:00,1,2024-11-21 03:16:03.455857000,13962.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,2035.00,0,0,0,2024-11-19 00:29:00,5,13838.00
23639,8342,31059608,15025.00,180.00,8,7069302074,1,0,0,2024-11-06 11:50:00,1,2024-11-21 03:16:03.455857000,24024.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,540.00,0,0,0,2024-11-20 02:39:00,3,27180.00
108048,8712,31060794,16989.00,172.00,4,9844032184,1,2,1,2024-10-20 16:00:00,51,2024-11-21 03:16:03.455857000,26488.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,6.00,522.00,0,0,0,2024-11-18 00:40:00,3,25966.00
